,CAF-62T_TPM,CAF-97T_TPM,CAF_73T_TPM,CAF_98T_TPM
211,20.400715,55.659666,55.436025,54.77671
212,0,0,0,0
213,0,0,0.251139,0.10332
214,120.706324,177.003162,104.806519,76.444317
215,5.823955,17.30366,19.361956,17.440674
216,18.122404,1.012828,661.777527,11.960696
217,6.501003,8.182387,10.837767,12.650502
218,0,0,0,0.126604
219,7.73562,48.164075,18.363399,22.919963
220,0,0.416527,12.381266,46.36542
221,38.623512,43.44564,22.951839,31.362309
222,0,0,0,0
223,54.020655,60.167355,73.485613,68.264366
224,25.740475,15.843465,12.664223,19.231713
225,0.023891,0.105182,0.052751,0.033693
226,457.814551,1314.666793,1668.783996,1310.556458
228,0,0.028673,0.023165,0
229,0.201641,0,0,0
230,34.31848,53.75915,31.623633,41.741831
231,125.00423,630.885581,1361.195006,385.929237
236,0,0,0,0
238,0.111554,0.086527,0.073733,0.044821
239,0,0,0,0
240,0,0,0,0
241,0.228373,0,0.241437,0
242,0,0,0,0
243,0,0,0,0
245,0,0,0,0
246,0,0,0.063001,0
247,0,0,0,0
248,0,0,0,0
249,0.898161,15.452102,8.842997,4.232206
250,0,0,0,0
251,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
262,47.513312,73.443198,68.047005,62.629911
263,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,50.154558,68.939115,63.874242,59.056639
268,1.080618,0.558767,1.088933,0.530334
269,0,0,0,0
270,0,0,0.142154,0
271,16.036073,51.206805,55.463047,40.771546
272,6.379591,7.031292,12.738709,18.106392
273,4.403926,4.593001,2.923982,3.611064
274,22.161809,46.455921,21.194097,27.499935
275,10.769257,5.092681,3.880669,5.225482
276,0.332496,0.186101,0.11394,0.107561
277,0.038467,0.088901,0,0.008042
278,0.345904,0.182229,0.120372,0.101395
279,0,0,0,0
280,5.85101,3.688091,1.746035,3.099032
281,0,0,0,0
283,14.110843,12.246916,10.592587,10.402773
284,25.006145,10.281045,10.408483,9.169649
285,0.679604,0.184833,0.050382,0.055502
286,0.06198,0.291175,0.559517,0.837177
287,9.758494,0.692382,7.509067,5.274765
288,62.113308,93.742882,11.065311,28.953112
290,16.335315,43.450558,27.912305,21.788402
291,5.257191,19.492252,14.033531,11.44182
292,165.151169,196.512238,192.340149,297.256897
293,207.068283,238.129822,238.672684,224.029129
301,1472.229016,1318.834067,1826.573847,1328.251271
302,1739.220871,2013.926232,2501.486881,2197.563056
303,0.064979,0.079882,0.048738,0.06619
304,2.229028,2.960055,2.759665,2.958494
305,0.058118,0.175478,0.020412,0.080242
306,30.03311,4.41034,31.425774,16.213606
307,149.896456,85.029875,60.901071,84.591161
308,1899.750965,1547.632536,2709.210565,2326.95035
309,270.085729,433.019526,357.184546,355.347422
310,126.526795,123.315424,117.733759,157.895047
311,40.776522,107.20377,70.438814,86.18332
312,0,0,0.080406,0
313,0,0,0,0
314,0.513802,1.442036,2.237549,1.321872
316,67.037255,34.58685,41.621852,25.879591
317,6.122656,6.848224,6.284962,8.777937
318,78.243878,39.476519,23.631539,53.968819
319,0,0,0,0
320,2.355421,4.735945,3.555191,2.815544
321,12.348796,15.684345,13.539862,11.562199
322,26.679293,58.935723,46.174297,47.070988
323,16.121059,23.700815,47.576162,44.447605
324,20.426611,18.821653,14.899336,22.076305
325,0,0,0,0
326,0.06012,0.485249,0,0.129563
327,23.692601,62.318454,50.677462,62.51307
328,210.154759,185.548081,155.067811,224.376839
329,67.517556,49.150431,64.194653,56.59129
330,3.932992,0.740274,9.176654,1.959684
331,20.533003,13.557653,16.226912,16.244624
332,6.831012,28.65687,8.115291,32.090592
333,1.706379,12.41743,10.094376,10.094286
334,257.686033,426.040191,552.646917,358.839331
335,0,0,12.486975,1.361856
336,0,0,0,0
337,0,0,0,0
338,0,0,0.005345,0
339,0,0,0,0
341,3.228532,3.050229,0.342552,3.647712
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,2.179852,0,1.209804,1.176174
348,24.00397,36.521668,2.601085,15.607745
350,0,0,0,0
351,277.168046,496.558024,934.700779,673.558227
353,74.180201,140.523617,127.881981,157.664812
354,0,0,0,0
355,61.456074,41.745905,35.516705,39.906193
356,0,0,0,0
357,0.106353,1.428075,0.759002,0.666208
358,1.220393,9.014468,1.957329,7.961286
359,0,0,0,0
360,2.714618,15.790707,3.858937,2.142213
361,0,0,0,0
362,0.104151,0.217159,0.815608,0.168016
363,0,0.22449,0,0
364,0,0,0,0
366,0,0,0,0.059704
367,2.207664,3.688822,3.631711,2.401588
368,0.422853,0.391595,0.235255,0.092651
369,31.935962,72.726703,54.195263,61.459669
372,122.388697,183.346173,154.553067,173.956688
373,20.224245,14.553669,16.695092,14.641399
374,0.370136,0.399137,1.859369,0.183271
375,230.439032,515.843295,498.942749,527.089638
377,60.765408,90.955356,114.264944,108.074687
378,516.949768,544.526672,725.436829,594.650696
379,21.075021,41.781208,17.092724,15.604075
380,0,0,0.006033,0
381,122.734604,226.277695,151.637848,163.753601
382,35.496483,60.594475,68.740219,69.725014
383,0,0,0,0
384,2.764508,5.677183,8.093226,3.608173
387,834.187434,1007.800195,927.817899,1096.441146
388,103.141418,161.260559,146.868713,94.055763
389,373.596754,648.505047,702.194359,707.868064
390,1050.407959,375.917046,1063.485199,419.463043
391,38.5463,76.312469,84.046618,70.299234
392,56.608138,139.533791,73.546729,104.497402
393,0.702255,1.56476,0.584658,0.369516
394,48.525923,31.171733,33.963145,27.516445
395,1.833747,5.882111,1.840605,1.191418
396,115.187962,357.73698,297.888178,360.999805
397,132.761769,255.860785,204.261008,179.653828
398,0,0.593463,0.614284,0.385466
399,0.01891,0,0,0
400,110.830944,77.005007,77.648374,76.080205
401,0,0,0,0
402,138.192989,163.17638,138.472544,150.037252
403,16.631228,18.991266,15.127374,18.833761
405,34.450946,37.53386,26.751983,40.124985
406,8.138262,30.143551,34.065242,16.523522
407,0,0,0,0
408,6.208147,10.293552,6.265811,7.725812
409,3.850212,9.256999,4.055429,3.981995
410,15.726588,44.10035,46.463278,25.057452
411,18.293566,39.538021,39.07472,39.340054
412,17.698419,23.24558,13.068702,13.76548
414,4.902324,9.130455,5.988971,7.930553
415,2.000587,1.682922,0.943871,1.513343
416,0,0,0,0
417,0,0,0,0
419,0.074345,0,0.512792,0
420,2.316061,6.79452,5.310565,9.928443
421,4.817489,5.882604,6.710682,6.921378
427,416.472376,169.359953,200.540376,191.839253
429,0,0,0,0
430,0,0,0,0
432,0.532795,0.670984,0.848528,0.459276
433,0,0,0.092148,0
434,0,0.061536,0,0
435,22.720193,30.640536,21.883253,24.293412
436,1.208052,1.153782,0.525691,1.624781
438,0,0.122554,0,0
439,99.738144,136.54729,133.036615,143.293243
440,51.184426,26.685063,59.782591,74.054049
443,2.170312,0.648922,1.04168,0.522168
444,188.449454,236.680687,304.936893,190.867858
445,38.725385,20.406905,51.288038,24.586843
447,0.441147,0.181892,0,0.164172
449,0,0,0,0
