,CAF-62T-IgA_TPM,CAF-97T-IgA_TPM,CAF_73T_IgA_TPM,CAF_98T_IgA_TPM
729224,0.040542,0,0,0.130521
729230,0,0,0,0
729233,0,0,0,0
729234,3.018175,3.364847,2.820511,2.732714
729236,4.128564,2.122437,0.370232,3.075524
729238,0,0.157282,0,0.027177
729240,0,0,0,0
729241,0,0,0,0
729246,0,0,0,0
729248,0,0.203502,0,0
729249,2.298913,1.138623,0.909107,0.941131
729250,0,0,0,0
729252,0,0,0,0
729254,0,0,0,0
729257,0,0,0,0
729259,0,0,0,0.090883
729262,0.687912,1.106526,0.84728,0.59642
729264,0,0,0.684694,0
729274,0,0,0,0
729277,1.082618,0.500758,0.56711,0.352651
729279,0,0.172042,0,0
729288,1.553512,1.221322,2.044132,1.686755
729291,1.168659,0.623,0.755912,0.967841
729293,0,0,0,0
729296,0,0,0,0
729298,0.246086,0.135414,0.008658,0.133108
729299,1.996982,1.841156,0.847848,0.998504
729301,0,0,0,0.214576
729305,0,0,0.068507,0
729307,0.06142,0,0,0
729310,0,0,0,0.059615
729313,0,0,0,0
729317,11.025922,9.807406,13.664452,11.107445
729321,0,0,0,0.039743
729323,0,0,0,0.059615
729327,0,0,0,0.032196
729330,0,0,0,0
729332,0,0,0,0
729334,0,0,0,0
729338,0.901546,1.655397,0.248164,0.639995
729340,0.384355,0.191103,0.025281,0.209314
729344,0,0,0,0
729347,0.138145,0.059806,0,0.00797
729348,0,0,0,0
729349,0,0.041983,0,0.037863
729355,0,0,0.033352,0
729359,0.035577,0.06652,0.08795,0.038087
729362,40.698204,36.010906,20.849602,35.459511
729366,0.05821,0.016795,0.001527,0.006108
729374,0.135966,0.008762,0,0.217634
729375,2.168173,0.964202,2.373978,2.250451
729384,0,0,0,0
729389,0.093923,0.448009,0.415889,0.454248
729391,0,0,0,0
729396,0,0,0,0
729399,0.009286,0.028941,0,0.069428
729402,68.877075,60.529541,48.047375,64.20697
729403,0.004095,0.008188,0,0.015141
729406,0.024796,0.093249,0.069269,0
729409,0.025171,0,0,0.078779
729412,0,0,0,0
729416,2.386804,1.87407,1.993396,1.627067
729420,0.172204,0.4387,0,0.251377
729422,0,0,0,0
729423,0.028189,0.039517,0.024732,0.010464
729428,0,0,0,0
729431,0,0,0,0
729435,0.077223,0,0.011121,0.033348
729438,4.244142,8.621055,7.022522,6.890381
729440,2.376068,6.746668,4.525879,6.605096
729442,0,0,0,0
729447,0,0,0,0
729449,0,0,0,0
729450,0,0,0,0
729451,0,0,0.036249,0
729453,0.863778,0.931424,0.965204,1.194801
729454,0,0,0,0
729458,0,0,0,0
729461,0,0,0,0
729467,0,0,0.152524,0
729468,10.463993,6.056307,1.604855,0.930092
729475,0.065366,0,0,0.059147
729480,0.250319,0.180048,0,0.235828
729484,0,0,0.016295,0.005171
729486,0.268905,0.086733,0.134686,0.130268
729490,0,0,0,0
729493,0.003986,0.024588,0,0
729494,1.941368,1.411926,0.203185,0.958251
729495,1.137422,1.217589,1.169219,0.780982
729496,0.047614,0.065689,0,0.122158
729497,0.01045,0,0,0.001877
729500,0.208888,0,0.151688,0.27835
729505,0.03113,0,0,0
729506,0.04622,0,0,0
729515,18.103291,11.513703,13.680161,11.67651
729522,0,0,0.151356,0
729524,0.012969,0,0.075057,0.011761
729528,0,0,0,0
729530,1.826008,0.925442,1.845193,1.074327
729533,1.424129,1.955717,1.516023,1.958776
729535,0,0.023409,0,0
729536,0.083036,0,0,0
729540,8.131814,7.353294,8.194642,9.864133
729557,0.146435,0,0,0.107359
729558,0,0,0,0
729561,0.550746,0.011884,0.07691,0.070697
729564,34.194729,43.402279,26.771261,41.716003
729565,0,0,0,0
729566,0,0,0,0
729568,0,0,0,0
729582,7.660269,4.106108,3.850467,1.373415
729583,0.28929,0,0,0.04227
729595,0.36345,0.30604,0.295558,0.46852
729597,0.012357,0,0,0.004087
729602,0.165741,0.092663,0,0
729603,3.181204,2.679088,2.793055,4.014874
729608,0,0,0,0
729609,0,0,0,0
729610,0,0,0,0
729611,0.117305,0,0,0.008192
729614,1.247999,1.44328,1.764107,1.874988
729617,1.161066,0.667546,0.46362,0.336845
729621,0.319148,0,0,0.268498
729627,0,0,0,0
729630,0.032897,0.014137,0,0
729633,0,0,0,0
729635,0,0,0,0
729646,0.498702,0.556659,0.13011,0.965807
729648,0.080974,0.033116,0.195429,0.032294
729650,0,0,0,0
