ID,Expression
6540,0.0
4548,15.521689000000002
79717,52.565718
239,0.0
3029,16.477412
471,86.29534100000002
23530,25.658375
114,0.0
129807,0.0
4723,53.970762
38,139.845297
8140,7.5318520000000015
3034,0.146155
377841,0.079624
4837,370.7589
57379,0.0
8526,4.294179
3295,77.426284
5471,7.589088999999999
1543,0.0
159963,0.012473
412,17.698419
81031,14.558307
65010,10.669429
8706,26.958552
3992,152.867009
9023,2.071917
64772,5.4039519999999985
126792,11.71089
4832,24.162859
23632,0.0
5973,9.509281
23315,8.522072999999999
55577,69.086303
2805,27.38205
10682,49.114071
84812,3.947622
2597,4653.456756000001
6716,0.046034
10327,79.160653
6342,246.552794
81579,16.274912
4200,11.74874
5340,0.0
6718,0.0
54965,13.936782
7388,354.502545
4284,0.059877
51520,67.186305
5198,1.4310200000000002
3421,44.841116
1312,87.989398
2352,2.505056
10797,90.995778
270,0.0
277,0.038467
1890,12.166672
5137,47.319674
84912,12.071079
253430,3.613327
50814,33.312046
509,267.745892
343,0.0
9963,0.0
9194,5.673538
221823,0.0
122481,0.095054
9942,1.976072
6888,137.169235
6570,0.0
56606,3.35554
160728,0.0
1159,0.0
140838,9.903634
60496,48.990335
51809,22.009656
57818,0.0
6548,9.747588
411,18.293566
26035,19.284636
26227,59.250548
5805,51.612919
56623,6.567253999999998
5136,38.863148
6561,0.0
8435,0.046152
5138,0.8019470000000001
5139,12.856689
8733,41.632912
5295,33.288397
8801,83.239628
493,91.610198
84532,10.478648
50700,0.0
3145,12.916706
57733,0.0
8399,0.012106
19,30.734713
56895,3.655899
9481,8.682557000000001
763,0.0
6563,13.777183
219,7.73562
2990,18.10794
55748,12.948156
768,0.0
93034,0.0
169355,0.073116
10840,0.27312
1594,0.473717
84444,2.794561
513,46.314505
686,13.122301
28,0.0
93010,0.346954
124935,1.626158
1622,452.845217
3294,0.214217
3612,19.665023
10005,28.552353000000004
2673,34.490082
256435,0.0
84618,0.0
3613,6.718641000000001
4259,292.624679
51524,72.200561
2983,9.878296
4843,0.0
11320,0.01928
5320,0.0
3162,37.772816
427,416.472376
10975,143.521439
6489,0.0
4594,34.866953
